,AUPRC
EFO_0008354,0.024766865584521836
EFO_0004535,0.02635482018756015
EFO_0004338,0.029707455343939915
EFO_0005090,0.032194054475066874
EFO_0007874,0.030530162051280577
EFO_0010701,0.02908645947433576
EFO_0004468,0.03307088339302891
EFO_0007989,0.02777638008028214
EFO_0007991,0.028261175978184897
EFO_0006939,0.03787504882339366
EFO_0004314,0.024455058962707544
EFO_0000341,0.03086684805294545
EFO_0005423,0.02545504248450652
EFO_0004761,0.028282281050821187
EFO_0004682,0.03172752308102466
EFO_0007993,0.02739673938314597
EFO_0006525,0.038756243276346025
EFO_0004570,0.03270144783136255
EFO_0004838,0.03647242330268332
MONDO_0100096,0.029655760145069286
EFO_0007869,0.048479617451551986
EFO_0004631,0.04282932101756845
EFO_0007822,0.03599472539666263
EFO_0007990,0.028683336098411675
EFO_0010067,0.05038796252341844
EFO_0005036,0.04025816159698256
EFO_0020865,0.09480272685740006
EFO_0006340,0.037621281870881595
EFO_0004741,0.03438698945410819
EFO_0004462,0.04110856760516041
EFO_0004703,0.031514149492649204
EFO_0005047,0.04333739803586081
HP_0000539,0.028227956040607752
EFO_0004627,0.0275770718908444
EFO_0022196,0.027580306051731927
EFO_0005116,0.04382789231944567
EFO_0007876,0.03846977885917759
EFO_0005210,0.045070348131405
MONDO_0005405,0.04713450350834604
EFO_0007629,0.029782160553569283
EFO_0004344,0.04117061966021684
EFO_0009718,0.04310449960779785
EFO_0004568,0.03284079257764428
EFO_0004617,0.0451833806634947
EFO_0006312,0.032506165082196274
EFO_0007800,0.04472756387080443
EFO_0005055,0.05056058721714032
EFO_0004536,0.03377759719989778
GO_0006306,0.03884316125727751
EFO_0008446,0.03887649464127889
EFO_0004704,0.04827549984076538
EFO_0007005,0.04226116628093877
EFO_0000319,0.039470961594007155
EFO_0007885,0.04217531582545952
EFO_0009819,0.06623862555333013
EFO_0009749,0.05129329399911683
EFO_0008002,0.04475988958737454
EFO_0010554,0.04708860243326903
EFO_0803544,0.05192626744696903
