	Adipose - Subcutaneous	Bladder	Brain - Cerebellum	Brain - Spinal cord (cervical c-1)	Cells - EBV-transformed lymphocytes	Fallopian Tube	Kidney - Medulla	Liver	Lung	Minor Salivary Gland	Pancreas	Pituitary	Skin - Not Sun Exposed (Suprapubic)	Skin - Sun Exposed (Lower leg)	Spleen	Testis	Thyroid	Whole Blood
Adipose - Subcutaneous	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03508771929824561	0.043859649122807015	0.0	0.004645113340765515	0.011111111111111112	0.0
Bladder	0.0	0.0	0.0	0.015384615384615385	0.0	0.0	0.0014285714285714286	0.005405405405405406	0.0	0.0	0.0	0.006060606060606061	0.005263157894736842	0.0	0.004761904761904762	0.003121516164994426	0.013333333333333334	0.013793103448275862
Brain - Cerebellum	0.0	0.0	0.0	0.002331002331002331	0.0010237510237510238	0.0011655011655011655	0.0005411255411255411	0.0004095004095004095	0.001893939393939394	0.0	0.0005224660397074191	0.0004591368227731864	0.00039872408293460925	0.0023923444976076554	0.00036075036075036075	0.0012330664504577548	0.0030303030303030303	0.004440961337513062
Brain - Spinal cord (cervical c-1)	0.0	0.015384615384615385	0.002331002331002331	0.0	0.002079002079002079	0.0	0.0016483516483516484	0.002079002079002079	0.009615384615384616	0.0	0.005305039787798408	0.002331002331002331	0.0	0.0	0.0	0.005145356315924878	0.015384615384615385	0.021220159151193633
Cells - EBV-transformed lymphocytes	0.0	0.0	0.0010237510237510238	0.002079002079002079	0.00259163272861903	0.0010395010395010396	0.0007722007722007722	0.001095690284879474	0.006756756756756757	0.0	0.001863932898415657	0.0012285012285012285	0.0	0.0	0.001287001287001287	0.00396215613606918	0.010810810810810811	0.014678471575023298
Fallopian Tube	0.0	0.0	0.0011655011655011655	0.0	0.0010395010395010396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002572678157962439	0.0	0.001326259946949602
Kidney - Medulla	0.0	0.0014285714285714286	0.0005411255411255411	0.0016483516483516484	0.0007722007722007722	0.0	0.00041109969167523125	0.0	0.0017857142857142857	0.0	0.001477832512315271	0.0006493506493506494	0.0	0.00037593984962406017	0.00017006802721088434	0.0013537187450230928	0.0033333333333333335	0.005049261083743843
Liver	0.0	0.005405405405405406	0.0004095004095004095	0.002079002079002079	0.001095690284879474	0.0	0.0	0.0015015015015015015	0.0033783783783783786	0.0	0.0	0.000819000819000819	0.0	0.001422475106685633	0.0	0.00183795835969749	0.005405405405405406	0.004659832246039142
Lung	0.0	0.0	0.001893939393939394	0.009615384615384616	0.006756756756756757	0.0	0.0017857142857142857	0.0033783783783783786	0.0	0.0	0.004310344827586207	0.003787878787878788	0.0	0.0	0.0	0.00822185061315496	0.025	0.03879310344827586
Minor Salivary Gland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002026958548697679	0.0	0.0
Pancreas	0.0	0.0	0.0005224660397074191	0.005305039787798408	0.001863932898415657	0.0	0.001477832512315271	0.0	0.004310344827586207	0.0	0.0	0.0010449320794148381	0.0	0.003629764065335753	0.0008210180623973727	0.002460308307384769	0.006896551724137931	0.0077288941736028535
Pituitary	0.0	0.006060606060606061	0.0004591368227731864	0.002331002331002331	0.0012285012285012285	0.0	0.0006493506493506494	0.000819000819000819	0.003787878787878788	0.0	0.0010449320794148381	0.0	0.0	0.0	0.0	0.0018580453363062058	0.006060606060606061	0.008359456635318705
Skin - Not Sun Exposed (Suprapubic)	0.03508771929824561	0.005263157894736842	0.00039872408293460925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04836415362731152	0.05955678670360111	0.0	0.005632811124801971	0.0	0.0
Skin - Sun Exposed (Lower leg)	0.043859649122807015	0.0	0.0023923444976076554	0.0	0.0	0.0	0.00037593984962406017	0.001422475106685633	0.0	0.0	0.003629764065335753	0.0	0.05955678670360111	0.05847953216374269	0.0	0.006219562283635511	0.0	0.0018148820326678765
Spleen	0.0	0.004761904761904762	0.00036075036075036075	0.0	0.001287001287001287	0.0	0.00017006802721088434	0.0	0.0	0.0	0.0008210180623973727	0.0	0.0	0.0	0.0	0.0013802622498274672	0.004761904761904762	0.005336617405582923
Testis	0.004645113340765515	0.003121516164994426	0.0012330664504577548	0.005145356315924878	0.00396215613606918	0.0002572678157962439	0.0013537187450230928	0.00183795835969749	0.00822185061315496	0.0002026958548697679	0.002460308307384769	0.0018580453363062058	0.005632811124801971	0.006219562283635511	0.0013802622498274672	0.005867773530817009	0.014567075436640655	0.02054741859839311
Thyroid	0.011111111111111112	0.013333333333333334	0.0030303030303030303	0.015384615384615385	0.010810810810810811	0.0	0.0033333333333333335	0.005405405405405406	0.025	0.0	0.006896551724137931	0.006060606060606061	0.0	0.0	0.004761904761904762	0.014567075436640655	0.02857142857142857	0.05747126436781609
Whole Blood	0.0	0.013793103448275862	0.004440961337513062	0.021220159151193633	0.014678471575023298	0.001326259946949602	0.005049261083743843	0.004659832246039142	0.03879310344827586	0.0	0.0077288941736028535	0.008359456635318705	0.0	0.0018148820326678765	0.005336617405582923	0.02054741859839311	0.05747126436781609	0.0822746521476104
